#Fault_segment,=,1,nx(Along-strike)=,8,Dx=,15.873km,ny(downdip)=,4,Dy=,9.640km
#Lat.,Lon.,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
52.068620,-131.430477,12.49,3.20,103.6,322.1,21.0,43.5,nan,nan,nan
52.019580,-131.534821,9.04,3.02,103.6,322.1,21.0,43.5,nan,nan,nan
51.970446,-131.638938,5.59,1.22,103.6,322.1,21.0,43.5,nan,nan,nan
51.921220,-131.742827,2.14,0.00,103.6,322.1,21.0,43.5,nan,nan,nan
52.182049,-131.571009,12.49,4.38,103.6,322.1,21.0,43.5,nan,nan,nan
52.132886,-131.675466,9.04,4.53,103.6,322.1,21.0,43.5,nan,nan,nan
52.083630,-131.779693,5.59,2.24,103.6,322.1,21.0,43.5,nan,nan,nan
52.034280,-131.883692,2.14,0.65,103.6,322.1,21.0,43.5,nan,nan,nan
52.295311,-131.712256,12.49,3.80,103.6,322.1,21.0,43.5,nan,nan,nan
52.246024,-131.816825,9.04,4.50,103.6,322.1,21.0,43.5,nan,nan,nan
52.196644,-131.921162,5.59,2.57,103.6,322.1,21.0,43.5,nan,nan,nan
52.147170,-132.025268,2.14,0.60,103.6,322.1,21.0,43.5,nan,nan,nan
52.408402,-131.854224,12.49,3.12,103.6,322.1,21.0,43.5,nan,nan,nan
52.358991,-131.958903,9.04,5.04,103.6,322.1,21.0,43.5,nan,nan,nan
52.309486,-132.063348,5.59,5.25,103.6,322.1,21.0,43.5,nan,nan,nan
52.259888,-132.167561,2.14,3.26,103.6,322.1,21.0,43.5,nan,nan,nan
52.521322,-131.996920,12.49,2.56,103.6,322.1,21.0,43.5,nan,nan,nan
52.471785,-132.101707,9.04,5.04,103.6,322.1,21.0,43.5,nan,nan,nan
52.422155,-132.206259,5.59,6.14,103.6,322.1,21.0,43.5,nan,nan,nan
52.372432,-132.310576,2.14,4.26,103.6,322.1,21.0,43.5,nan,nan,nan
52.634067,-132.140348,12.49,1.67,103.6,322.1,21.0,43.5,nan,nan,nan
52.584404,-132.245242,9.04,3.97,103.6,322.1,21.0,43.5,nan,nan,nan
52.534648,-132.349899,5.59,5.25,103.6,322.1,21.0,43.5,nan,nan,nan
52.484800,-132.454320,2.14,3.75,103.6,322.1,21.0,43.5,nan,nan,nan
52.746636,-132.284514,12.49,1.03,103.6,322.1,21.0,43.5,nan,nan,nan
52.696847,-132.389514,9.04,3.16,103.6,322.1,21.0,43.5,nan,nan,nan
52.646964,-132.494275,5.59,4.64,103.6,322.1,21.0,43.5,nan,nan,nan
52.596989,-132.598798,2.14,3.46,103.6,322.1,21.0,43.5,nan,nan,nan
52.859027,-132.429425,12.49,0.52,103.6,322.1,21.0,43.5,nan,nan,nan
52.809110,-132.534529,9.04,2.31,103.6,322.1,21.0,43.5,nan,nan,nan
52.759100,-132.639393,5.59,3.21,103.6,322.1,21.0,43.5,nan,nan,nan
52.708997,-132.744016,2.14,2.08,103.6,322.1,21.0,43.5,nan,nan,nan